# http://floodobservatory.colorado.edu/Archives/index.html
lat,long
35.8142,5.23026
-18.7111,-45.3489
10.0207,122.974
1.01489,124.606
-25.8693,32.3491
-11.6516,43.36
-37.2305,175.734
-7.04008,108.14
40.6691,-85.1742
-21.2244,-63.2887
40.6814,-89.5537
35.3824,-108.093
29.6044,-96.7845
42.0122,-83.5377
-4.13519,-48.0987
28.5802,-96.8425
48.0917,127.897
46.4938,-87.8805
34.8628,-105.275
18.2291,-66.706
25.6694,109.57
-35.4392,-58.9735
24.6497,91.8542
33.6977,-99.4494
36.3581,-96.1011
14.7417,120.916
14.5398,75.0937
27.7882,109.974
22.6176,89.9853
50.7134,6.50952
38.9381,-80.5923
11.6727,21.5509
32.8353,76.9103
13.489,24.9139
42.6953,125.156
23.1028,90.1999
34.4872,-85.7798
31.5112,120.376
41.6853,-105.091
27.5049,87.1258
23.5255,100.797
47.3155,12.2066
11.0514,39.7851
25.3728,111.342
21.6782,109.825
28.5438,-82.3489
43.4577,142.796
21.0725,110.542
27.3195,86.3518
43.242,-83.8824
20.8454,106.251
63.1724,15.9425
26.4816,82.8434
18.8752,-71.7971
6.41486,6.50345
24.7027,89.6457
18.2233,-66.635
33.1369,-105.8
7.37547,2.17876
12.9425,99.6423
21.1495,86.7154
31.7526,-98.6949
16.1135,121.138
29.542,-90.0003
38.837,-78.4543
17.9531,-77.2692
10.1633,-67.0248
11.2699,-60.6243
42.6864,-82.8186
44.0047,-116.954
-16.5525,-66.0628
39.2816,-121.38
-16.1155,-69.0747
45.0248,-87.8814
-29.4731,-59.5908
-9.79844,-43.7954
33.3427,49.8267
15.0651,100.638
37.2733,-89.8357
-9.33748,160.669
32.4344,-97.2966
-33.0922,-71.0406
40.604,-79.7424
29.6932,-97.8369
20.8066,-76.2478
-33.0922,-71.0406
31.1451,-94.1582
41.7178,-94.9169
15.6456,120.905
2.12719,-70.2357
53.6451,-113.747
22.991,108.766
25.6339,84.0726
45.246,128.148
21.5735,105.593
35.9088,140.195
42.894,-88.2263
17.4331,80.187
-33.7104,-54.7281
34.3153,-81.5473
37.8118,-25.5053
31.9611,-102.223
25.6963,-99.8429
43.1135,-84.4959
48.0263,-107.522
23.6547,89.4296
38.8855,-90.6864
36.1903,10.2467
14.6553,120.882
61.7914,-149.464
18.7575,-72.9026
-3.70717,106.005
47.6776,-122.012
29.8651,50.5509
13.9153,108.708
-21.7074,-44.4508
-24.152,-60.2051
-19.6111,47.4609
-23.5772,-46.6809
-16.7537,-64.817
-12.3047,-74.0575
43.1418,41.8577
-7.33531,111.925
-0.131721,-77.4907
-11.8797,-76.7345
32.5541,61.4219
44.7173,-69.4556
-2.54852,-79.4853
44.584,19.6312
-28.4297,153.222
49.6687,20.6162
23.021,112.803
40.5924,-95.2617
18.5812,-71.0321
28.9938,-97.1003
31.0143,103.832
40.5807,-82.6341
31.4619,115.405
3.22933,-75.5718
-33.8689,-71.1067
45.7794,9.9383
29.9247,-98.7832
42.1547,84.3995
36.4164,126.932
35.2053,51.6599
24.7767,91.8011
36.3332,117.689
10.1321,-66.4167
46.7269,124.655
40.4228,-75.9401
-29.0897,30.7003
19.4762,-99.122
16.658,-90.7707
42.306,2.42823
34.973,133.687
28.4698,33.9157
25.0202,121.527
18.0492,-76.9826
38.6938,-0.936047
13.9903,108.372
35.3657,-90.0017
21.3825,-157.782
9.60268,-82.9868
19.321,-70.4315
30.6473,-90.22
-22.4939,-43.2761
-7.76758,110.614
-28.8429,24.3587
-12.823,-72.4803
-22.1508,26.9543
-34.6391,-59.0423
49.8867,10.0852
-20.5349,119.782
37.441,42.6368
49.345,15.6402
-0.996029,36.3806
32.5616,130.88
-0.829098,30.4125
26.9901,118.907
26.4813,92.0622
25.0845,113.629
21.6272,-79.1496
6.5639,80.4188
14.6581,121.197
36.3288,69.4328
28.7125,108.938
40.0061,32.9515
22.9348,89.2694
28.2371,117.978
26.988,92.926
51.4768,24.7132
29.5434,104.148
