# https://www.ngdc.noaa.gov/nndc/struts/form?t=101650&s=1&d=1
# removed events with missing lat or lon
# more datasets https://www.researchgate.net/post/What_is_the_greatest_online_data_set_for_earthquakes
LATITUDE,LONGITUDE
31.100,35.500
35.683,35.800
38.000,58.200
36.400,25.400
31.500,35.300
35.500,25.500
35.683,35.800
32.000,35.500
29.600,35.000
33.000,35.500
33.270,35.220
37.000,22.500
33.560,35.370
37.900,23.500
39.700,23.300
37.000,22.500
38.900,22.700
35.500,51.800
38.250,22.250
35.000,25.000
40.000,25.000
23.000,71.000
38.500,22.500
41.000,27.000
42.700,77.500
36.300,28.300
29.200,25.500
36.200,-7.170
44.300,8.500
36.000,-10.500
36.404,25.396
35.400,103.900
33.800,105.600
36.300,119.000
45.200,36.600
36.000,-10.000
41.300,19.500
43.500,28.500
43.000,41.000
34.900,104.700
31.200,34.200
32.000,35.500
25.700,32.700
35.000,33.000
28.800,104.600
35.200,34.000
38.000,58.300
37.800,27.400
37.850,27.300
38.200,22.200
33.000,72.000
35.900,126.500
40.500,28.900
31.800,35.200
36.100,36.100
33.000,112.500
37.000,68.500
41.000,24.300
36.100,36.100
35.000,25.000
41.200,19.300
37.900,29.200
35.200,25.100
40.700,14.500
34.800,32.000
40.821,14.426
35.900,126.500
40.600,26.700
35.800,129.200
39.500,27.000
40.000,34.000
36.100,36.100
40.770,29.920
35.800,129.200
34.700,105.400
35.800,103.500
36.700,28.000
34.700,105.300
36.500,28.500
39.000,24.500
37.500,120.000
38.000,15.000
38.600,26.650
39.400,99.500
45.300,11.000
35.500,25.500
39.100,27.200
41.900,12.450
36.600,30.000
40.300,116.000
32.600,116.800
35.500,129.100
33.200,35.100
31.700,35.500
34.100,105.300
40.500,14.500
41.200,19.300
36.100,36.100
36.200,36.100
41.300,19.500
36.200,36.100
40.500,14.500
40.300,26.500
35.400,114.300
41.400,19.400
33.900,35.500
41.000,30.000
40.700,29.700
40.770,29.900
41.600,21.500
41.000,29.500
31.300,35.600
35.000,23.000
40.700,29.700
40.000,29.000
40.500,29.600
41.100,14.800
36.000,-10.830
36.100,36.100
36.100,36.100
41.000,29.000
37.067,10.067
31.200,34.200
31.900,34.900
40.500,46.500
35.500,25.500
41.000,29.000
40.900,28.500
35.000,25.000
40.400,28.400
36.200,36.100
36.200,36.100
20.300,100.000
44.400,4.300
41.000,29.000
40.800,29.200
34.300,35.500
32.100,118.800
42.700,76.500
39.000,125.300
35.500,129.100
39.400,113.300
42.000,21.400
39.600,21.200
41.200,19.300
36.200,36.100
36.250,36.100
40.100,20.800
36.250,36.100
36.200,37.200
40.300,27.800
38.400,22.300
33.900,35.500
36.100,37.100
33.900,35.500
36.800,27.300
41.040,28.980
40.900,27.600
40.900,27.600
36.100,36.100
43.600,13.500
40.900,28.800
36.200,36.100
45.600,15.300
36.000,36.000
36.100,36.100
36.250,36.100
34.300,108.900
41.000,15.000
38.000,46.200
36.100,111.500
35.300,54.000
35.500,129.100
35.000,43.500
32.500,134.000
38.400,27.200
35.700,135.400
33.800,136.700
36.000,36.000
40.400,28.900
36.000,36.000
34.600,105.600
39.700,45.500
40.700,29.300
35.000,38.000
42.100,48.200
35.300,52.200
32.400,130.500
34.600,135.300
35.500,136.900
32.000,35.500
33.500,36.300
35.000,43.500
31.200,34.200
33.300,59.300
31.600,130.700
37.800,115.200
45.400,12.200
28.100,111.400
35.500,129.100
32.500,109.400
45.500,11.000
35.000,25.000
41.900,12.600
45.400,11.900
36.950,35.600
56.300,-2.800
27.900,102.200
36.800,66.200
35.200,139.300
37.400,112.600
36.000,36.000
40.400,71.300
49.500,-2.500
33.500,36.300
36.200,43.100
36.100,36.100
41.600,14.200
33.500,36.300
36.210,42.080
35.300,51.200
39.000,139.900
40.000,44.600
41.500,14.500
50.100,3.100
35.700,10.100
40.000,45.000
35.300,51.200
36.800,10.200
37.900,22.900
40.000,44.600
36.200,54.300
40.000,44.600
38.000,46.200
36.000,36.000
33.000,44.500
40.000,44.600
38.000,46.200
35.300,51.200
37.100,138.000
35.300,51.200
41.000,29.000
38.500,143.800
33.200,47.200
37.800,105.900
30.000,-6.000
30.000,31.100
33.000,135.300
37.500,138.100
38.300,48.300
40.000,44.600
45.300,11.000
41.900,12.600
41.700,22.900
35.300,51.200
33.200,44.200
34.600,47.800
33.800,136.700
36.000,51.700
39.700,64.500
38.000,58.300
36.100,37.100
38.000,58.300
34.900,48.400
34.800,44.800
35.700,51.400
33.200,44.200
35.300,51.200
38.000,15.000
36.100,36.100
27.400,52.200
27.700,52.300
41.100,14.800
