# https://www.ngdc.noaa.gov/nndc/servlet/ShowDatasets?dataset=102557&search_look=50&display_look=5
Latitude,Longitude
-30.2,-178.47
30.78,130.28
11.984,-86.161
-5.58,150.52
14.002,120.993
15.13,120.35
40.821,14.426
-5.358,147.12
56.53,-158.8
46.2,-122.18
56.17,-159.38
56.88,-158.17
36.404,25.396
60.48,-152.75
-38.82,176
-5.58,150.52
15.13,120.35
-1.467,-78.442
-0.677,-78.436
-29.27,-177.92
36.404,25.396
-2.38,147.35
37.734,15.004
53.42,-168.13
12.242,-86.342
36.404,25.396
-16.25,168.12
61.38,-141.75
40.821,14.426
15.63,44.08
-38.82,176
51.8,157.53
59.37,-153.42
-6.102,105.423
13.672,-89.053
15.63,44.08
-4.271,152.203
13.736,-89.286
27.08,37.25
-5.58,150.52
31.58,130.67
31.58,130.67
40.821,14.426
61.38,-141.75
-5.056,150.108
63.63,-19.05
21.125,-104.508
63.63,-19.05
63.63,-19.05
41.98,128.08
36.404,25.396
63.98,-19.7
63.93,-22.1
63.98,-19.7
37.734,15.004
37.734,15.004
63.63,-19.05
63.98,-19.7
8.975,39.93
63.63,-19.05
-0.85,-78.9
63.98,-19.7
40.73,13.897
63.63,-19.05
-7.93,112.308
37.734,15.004
37.734,15.004
32.88,131.1
-7.93,112.308
63.98,-19.7
63.63,-19.05
64,-16.65
17.36,-93.228
-7.93,112.308
-7.93,112.308
63.98,-19.7
37.12,139.97
-16.829,168.536
31.58,130.67
64.63,-17.53
32.88,131.1
63.63,-19.05
63.98,-19.7
63.98,-19.7
37.734,15.004
40.827,14.139
59.37,-153.42
1.68,127.88
1.375,127.52
14.381,-90.601
31.93,130.87
-9.13,159.82
11.826,-85.968
19.514,-103.62
38.65,-28.08
63.63,-19.05
-6.092,155.225
14.473,-90.88
-7.93,112.308
-7.542,110.442
19.514,-103.62
-8.125,114.042
4.895,-75.322
36.4,138.53
63.98,-19.7
-8.125,114.042
36.4,138.53
-4.525,129.871
-16.608,-70.85
33.13,139.77
0.8,127.325
25.32,98.47
-4.525,129.871
14.473,-90.88
63.63,-19.05
64.42,-17.33
37.77,-25.32
11.28,41.63
40.821,14.426
63.98,-19.7
-8.125,114.042
42.07,140.68
-1.467,-78.442
0.32,127.4
36.404,25.396
13.736,-89.286
-6.92,129.125
-6.92,129.125
63.63,-19.05
-5.358,147.12
42.53,140.83
32.75,130.3
27.85,128.25
37.734,15.004
37.734,15.004
-15.4,167.83
38.6,-28.73
-7.542,110.442
1.375,127.52
28.58,-17.83
14.02,42.75
40.821,14.426
64.42,-17.33
40.821,14.426
-7.13,107.83
-6.3,130
37.734,15.004
63.98,-19.7
-4.525,129.871
40.821,14.426
-6.892,108.4
-0.677,-78.436
28.271,-16.641
36.404,25.396
35.35,138.73
3.67,125.5
64.63,-17.53
40.821,14.426
-7.93,112.308
14.002,120.993
64.63,-17.53
31.93,130.87
31.93,130.87
64.63,-17.53
14.473,-90.88
38.47,-28.4
63.63,-19.05
36.4,138.53
64.63,-17.53
64,-16.65
64.63,-17.53
65.73,-16.78
29.03,-13.63
55.12,-128.9
-8.125,114.042
40.821,14.426
41.5,139.37
-0.677,-78.436
-0.677,-78.436
14.002,120.993
64.42,-17.33
14.002,120.993
63.63,-19.05
38.65,-28.08
0.32,127.4
56.057,160.638
63.98,-19.7
13.257,123.685
-0.677,-78.436
0.8,127.325
-7.32,107.73
0.8,127.325
1.358,124.792
0.8,127.325
48.292,153.25
40.821,14.426
31.58,130.67
31.58,130.67
32.45,139.77
31.58,130.67
31.58,130.67
31.58,130.67
36.4,138.53
64.42,-17.33
-15.78,-71.85
19.692,-155.87
32.45,139.77
-7.2,109.92
34.73,139.38
19.425,-155.292
32.75,130.3
40.821,14.426
38.65,-28.08
-7.13,107.83
13.257,123.685
46.2,-122.18
-9.23,33.78
19.692,-155.87
39.08,140.03
36.4,138.53
36.4,138.53
42.7,141.33
40.821,14.426
13.33,-61.18
3.67,125.5
40.821,14.426
13.257,123.685
-8.25,118
32.88,131.1
-8.058,114.242
-8.125,114.042
19.514,-103.62
19.67,145.4
54.52,-164.65
-4.525,129.871
42.53,140.83
-7.25,108.05
-7.542,110.442
19.425,-155.292
54.75,-163.97
-5.83,154.98
-7.93,112.308
-7.2,109.92
32.88,131.1
53.255,158.83
53.255,158.83
-7.13,107.83
37.734,15.004
-7.542,110.442
-3.52,102.62
12.98,-87.57
-4.525,129.871
4.914,96.329
0.8,127.325
-33.62,-76.83
0.8,127.325
19.425,-155.292
39.7,44.28
-9.13,159.82
-10.38,165.8
30.43,130.22
17.37,-62.8
16.05,-61.67
-8,113.342
37.734,15.004
1.108,124.725
4.895,-75.322
63.98,-19.7
-38.82,176
-6.77,107.6
41.8,141.17
14.95,-24.35
-7.2,109.92
-7.93,112.308
-4.271,152.203
-15.6,-175.63
13.257,123.685
24,121.83
56.653,161.36
32.88,131.1
50.858,155.55
3.67,125.5
54.75,-163.97
42.07,140.68
-5.589,147.875
13.257,123.685
36.57,137.6
36.57,137.6
-8.108,112.92
14.473,-90.88
64.42,-17.33
13.58,41.808
64.42,-17.33
0.32,127.4
-19.52,169.425
-7.93,112.308
36.404,25.396
-14.175,-169.618
38.15,140.45
19.475,-155.608
37.734,15.004
-8.53,122.775
-8,113.342
2.28,125.425
-8.54,123.59
-15.4,167.83
2.28,125.425
9.203,124.673
0.8,127.325
13.257,123.685
-7.542,110.442
-7.542,110.442
40.821,14.426
-7.542,110.442
32.88,131.1
48.875,154.175
7.67,124.5
40.821,14.426
34.08,139.53
14.002,120.993
-7.93,112.308
65.03,-16.75
13.257,123.685
19.475,-155.608
-0.677,-78.436
-19.52,169.425
-4.271,152.203
-19.52,169.425
53.42,-168.13
38.789,15.213
-11.75,43.38
-6.102,105.423
59.37,-153.42
-6.102,105.423
-6.14,155.195
-6.102,105.423
-8.108,112.92
2.32,-76.4
-1.467,-78.442
-38.12,176.5
-15.6,-175.63
13.257,123.685
-5.52,148.121
37.6,140.08
3.138,125.491
0.32,127.4
-9.2,149.07
0.686,99.539
3.67,125.5
-19.75,-175.07
-41.326,-72.614
37.73,140.25
-16.25,168.12
-8.108,112.92
-4.649,145.964
31.93,130.87
-5.056,150.108
31.93,130.87
-10.38,165.8
13.257,123.685
1.47,-76.92
-4.1,145.061
36.4,138.53
31.93,130.87
37.62,140.28
8.158,39.13
-7.93,112.308
-16.68,168.37
14.82,-61.17
13.33,-61.18
14.82,-61.17
14.82,-61.17
30.48,140.32
14.82,-61.17
14.756,-91.552
-7.542,110.442
-38.12,176.5
-11.75,43.38
-11.75,43.38
40.821,14.426
-13.612,-172.525
40.821,14.426
-21.38,-175.65
12.88,40.57
-8.53,122.775
-13.612,-172.525
4.203,9.17
-8.108,112.92
-38.82,176
42.53,140.83
14.002,120.993
36.4,138.53
36.4,138.53
10,-61
-8.108,112.92
58.27,-155.16
-1.408,29.2
19.514,-103.62
3.67,125.5
36.4,138.53
-8.108,112.92
-16.25,168.12
31.58,130.67
-5.58,150.52
-37.52,177.18
-15.4,167.83
-1.467,-78.442
38.789,15.213
-2.751,35.902
-38.12,176.5
-41.326,-72.614
13.736,-89.286
3.138,125.491
63.63,-19.05
19.023,-98.622
3.138,125.491
-7.93,112.308
38.789,15.213
37.12,139.97
19.475,-155.608
-7.542,110.442
13.813,-89.633
37.12,139.97
-7.32,107.73
-6.77,107.6
31.93,130.87
19.425,-155.292
43.42,142.68
-8.32,121.708
64.27,-16.65
36.404,25.396
13.257,123.685
-6.102,105.423
-7.2,109.92
-8.32,121.708
37.734,15.004
-41.326,-72.614
42.07,140.68
37.734,15.004
14.756,-91.552
-6.102,105.423
36.4,138.53
38.789,15.213
-7.542,110.442
36.4,138.53
14.473,-90.88
-7.542,110.442
36.62,138.55
49.12,154.508
35.22,139.02
30.43,130.22
12.77,124.05
45.374,-121.694
36.4,138.53
-38.692,-71.729
-4.271,152.203
-1.408,29.2
37.6,140.08
13.257,123.685
36.4,138.53
12.3,-61.63
30.48,140.32
-7.2,109.92
2.78,125.48
34.08,139.53
-2.751,35.902
36.4,138.53
-8.108,112.92
19.48,-102.25
-0.9,-91.42
40.821,14.426
52.82,-169.95
42.53,140.83
38.789,15.213
42.53,140.83
-7.2,109.92
31.58,130.67
-8.108,112.92
-8.108,112.92
48.092,153.2
13.257,123.685
36.4,138.53
36.53,139.18
63.98,-19.7
-8.54,123.59
-39.42,-71.93
2.32,-76.4
9.203,124.673
-8.108,112.92
9.203,124.673
36.4,138.53
-8.95,148.15
12.98,-87.57
-7.93,112.308
35.22,139.02
9.203,124.673
-9.02,157.95
35.22,139.02
32.1,139.85
32.1,139.85
32.1,139.85
32.1,139.85
17.32,121.1
32.1,139.85
-7.542,110.442
32.1,139.85
32.88,131.1
-2.38,147.35
-8.51,124.148
35.22,139.02
34.73,139.38
-39.28,175.57
38.789,15.213
36.57,137.6
-3.6,144.85
9.203,124.673
-40.35,-72.07
31.58,130.67
55.978,160.587
53.13,-168.68
32.75,130.3
34.73,139.38
32.88,131.1
1.358,124.858
43.68,142.88
-16.829,168.536
-40.59,-72.117
-41.326,-72.614
36.57,137.6
-7.542,110.442
43.68,142.88
36.4,138.53
43.42,142.68
-7.542,110.442
0.8,127.325
9.979,-83.852
-8.342,115.508
-8.108,112.92
-8.342,115.508
-39.42,-71.93
-8.242,115.375
14.473,-90.88
9.979,-83.852
-8.32,121.708
-39.42,-71.93
-7.2,109.92
14.002,120.993
12.3,-61.63
-10.38,165.8
-7.93,112.308
3.67,125.5
-2.751,35.902
-2.751,35.902
-8.108,112.92
-62.97,-60.65
13.257,123.685
10.463,-84.703
-7.542,110.442
-8.88,121.63
19.077,122.202
38.73,140.73
40.827,14.139
63.98,-19.7
-45.9,-72.97
-10.38,165.8
14.473,-90.88
28.58,-17.83
-39.42,-71.93
36.62,138.55
-21.229,55.713
35.22,139.02
-5.52,148.121
63.43,-20.28
-8.32,121.708
-45.9,-72.97
-8.54,123.59
2.78,125.48
31.58,130.67
36.92,138.03
31.58,130.67
14.473,-90.88
-5.52,148.121
-7.542,110.442
-0.381,100.473
10.463,-84.703
19.425,-155.292
36.62,138.55
-2.03,-78.33
-8.108,112.92
2.78,125.48
-7.542,110.442
-1.52,29.25
-11.75,43.38
65.73,-16.78
56.057,160.638
42.53,140.83
42.53,140.83
12.77,124.05
14.756,-91.552
-8.108,112.92
-6.77,107.6
-7.2,109.92
-4.649,145.964
13.33,-61.18
37.734,15.004
-8.54,123.59
32.88,131.1
46.2,-122.18
63.98,-19.7
45.374,-121.694
37.734,15.004
-8.108,112.92
50.858,155.55
-8.108,112.92
13.257,123.685
-8.32,121.708
52.68,158.3
17.36,-93.228
17.36,-93.228
-7.25,108.05
17.36,-93.228
56.057,160.638
-0.17,121.608
-8.54,123.59
34.08,139.53
6.25,10.5
13.257,123.685
35.9,137.48
37.734,15.004
-8.108,112.92
4.895,-75.322
37.734,15.004
39.97,140.77
38.789,15.213
6.25,10.5
-7.542,110.442
34.73,139.38
14.381,-90.601
37.734,15.004
-8.51,124.148
-4.525,129.871
10.463,-84.703
-8.108,112.92
-38.377,-71.58
39.97,140.77
32.88,131.1
31.93,130.87
56.653,161.36
-7.93,112.308
32.88,131.1
32.88,131.1
-15.78,-71.85
-4.271,152.203
14.756,-91.552
32.88,131.1
-1.52,29.25
-7.93,112.308
32.75,130.3
15.13,120.35
52.453,158.195
-11.75,43.38
-45.9,-72.97
1.358,124.792
37.734,15.004
2.78,125.48
-7.2,109.92
12.506,-86.702
2.78,125.48
-0.381,100.473
15.13,120.35
61.3,-152.25
-8.108,112.92
1.22,-77.37
-7.125,128.675
13.257,123.685
-0.171,-78.598
19.425,-155.292
-6.102,105.423
32.75,130.3
15.13,120.35
15.13,120.35
-19.52,169.425
-8.108,112.92
32.88,131.1
2.92,-76.05
-4.271,152.203
-8.42,116.47
-7.542,110.442
-19.52,169.425
36.22,137.58
14.95,-24.35
14.381,-90.601
-8.758,121.83
6.12,124.892
54.05,159.43
19.023,-98.622
10.412,123.132
11.446,-85.515
64.42,-17.33
-4.1,145.061
-7.542,110.442
2.78,125.48
16.72,-62.18
40.65,140.88
16.72,-62.18
-8.108,112.92
37.62,140.28
32.88,131.1
16.72,-62.18
19.425,-155.292
-7.93,112.308
12.702,-87.004
16.72,-62.18
14.473,-90.88
56.653,161.36
-0.171,-78.598
-1.467,-78.442
34.08,139.53
-8.108,112.92
10.463,-84.703
19.425,-155.292
-7.542,110.442
37.734,15.004
37.734,15.004
-7.542,110.442
38.789,15.213
2.78,125.48
-1.52,29.25
37.734,15.004
-0.078,-77.656
38.789,15.213
-8.108,112.92
16.72,-62.18
-8.67,122.45
-7.942,112.95
-4.1,145.061
-4.1,145.061
13.853,-89.63
-11.75,43.38
-29.27,-177.92
16.72,-62.18
12.77,124.05
-7.542,110.442
-1.467,-78.442
-1.467,-78.442
13.257,123.685
-4.1,145.061
2.92,-76.05
-6.72,106.73
15.7,41.742
-42.833,-72.646
52.18,-175.5
-1.467,-78.442
2.92,-76.05
60.48,-152.75
19.425,-155.292
-1.467,-78.442
63.63,-19.62
14.381,-90.601
16.708,145.78
2.78,125.48
3.17,98.392
-7.542,110.442
